,BUSCADOR DE CARRERAS 2026,,,,,,,,,,,,,,,,,,Porcentaje de matriculados según establecimiento de origen,,,,,,,,,,,Ponderaciones,,,,,,,,
Código único de carrera ,Código institución ,Área del conocimiento,Tipo de institución,Nombre institución,Nombre carrera,Región,Jornada,Sede,Arancel Anual 2026,Costo de titulación,Duración Formal (semestres),Nivel carrera ,Matrícula Total Femenina 2025,Matrícula Total Masculina 2025,Matrícula Total 2025,Matrícula 1er año Femenina 2025,Matrícula 1er año Masculina 2025,Matrícula 1er año Total 2025,Municipal y Servicios Locales,Particular Subvencionado ,Particular Pagado,Administración Delegada,Titulación Femenina 2024,Titlación Masculina 2024,Titulación Total 2024,Rango ingreso a 1er año con PAES 2025,Promedio PAES 2025 de Matrícula 1er año 2025,Promedio NEM 2025 de Matrícula 2025,Vacantes 1er semestre ,NEM,Ranking ,PAES Lenguaje,PAES Matemáticas ,PAES Matemáticas 2,PAES Historia ,PAES Ciencias ,Otros ,Área Carrera Genérica
I1S1C26J1V4,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA CIVIL INDUSTRIAL,Metropolitana,Diurna,CASA CENTRAL,$ 5.752.000,$ 543.000,10,Profesional,11,12,23,1,3,4,19.0%,47.6%,33.3%,0.0%,0,0,0, - , - , 6.2 ,35,30,35,10,10,5,10,10,0,Ingeniería Civil Industrial
I1S1C26J4V2,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA CIVIL INDUSTRIAL,Metropolitana,A Distancia,CASA CENTRAL,$ 5.074.000,$ 507.000,6,Profesional,23,123,146,0,0,0,50.0%,44.6%,1.1%,4.3%,0,1,1, - , - , 5.5 ,33,0,0,0,0,0,0,0,0,Ingeniería Civil Industrial
I1S1C26J4V5,1,Tecnología,Universidades,UNIVERSIDAD GABRIELA MISTRAL,INGENIERIA CIVIL INDUSTRIAL,Metropolitana,A Distancia,CASA CENTRAL,$ 5.074.000,$ 507.000,7,Profesional,31,49,80,0,0,0,27.3%,60.0%,10.9%,1.8%,1,1,2, - , - , 5.7 ,32,0,0,0,0,0,0,0,0,Ingeniería Civil Industrial
I1S1C289J4V1,1,Humanidades,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN LITERATURA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 321.000,8,Profesional,37,12,49,5,5,10,29.7%,59.5%,10.8%,0.0%,0,0,0, - , - , 5.9 ,30,0,0,0,0,0,0,0,0,Licenciatura en Letras y Literatura
I1S1C289J4V2,1,Humanidades,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN LITERATURA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 340.000,4,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,20,0,0,0,0,0,0,0,0,Licenciatura en Letras y Literatura
I1S1C289J4V3,1,Humanidades,Universidades,UNIVERSIDAD GABRIELA MISTRAL,LICENCIATURA EN LITERATURA,Metropolitana,A Distancia,CASA CENTRAL,$ 3.407.000,$ 340.000,5,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,10,0,0,0,0,0,0,0,0,Licenciatura en Letras y Literatura
I1S1C367J4V1,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,CONTADOR PUBLICO AUDITOR,Metropolitana,A Distancia,CASA CENTRAL,$ 3.600.000,$ 360.000,5,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,30,0,0,0,0,0,0,0,0,Contador Auditor
I1S1C367J4V2,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,CONTADOR PUBLICO AUDITOR,Metropolitana,A Distancia,CASA CENTRAL,$ 3.600.000,$ 360.000,5,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,30,0,0,0,0,0,0,0,0,Contador Auditor
I1S1C367J4V3,1,Administración y Comercio,Universidades,UNIVERSIDAD GABRIELA MISTRAL,CONTADOR PUBLICO AUDITOR,Metropolitana,A Distancia,CASA CENTRAL,$ 3.600.000,$ 360.000,6,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,30,0,0,0,0,0,0,0,0,Contador Auditor
I1S1C368J4V1,1,Arte y Arquitectura,Universidades,UNIVERSIDAD GABRIELA MISTRAL,DISEÑO DE EXPERIENCIAS INMERSIVAS Y VIDEOJUEGOS,Metropolitana,A Distancia,CASA CENTRAL,$ 4.814.000,$ 481.000,5,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,30,0,0,0,0,0,0,0,0,Diseño Gráfico
