,BUSCADOR DE CARRERAS 2026,,,,,,,,,,,,,,,,,,Porcentaje de matriculados según establecimiento de origen,,,,,,,,,,,Ponderaciones,,,,,,,,
Código único de carrera ,Código institución ,Área del conocimiento,Tipo de institución,Nombre institución,Nombre carrera,Región,Jornada,Sede,Arancel Anual 2026,Costo de titulación,Duración Formal (semestres),Nivel carrera ,Matrícula Total Femenina 2025,Matrícula Total Masculina 2025,Matrícula Total 2025,Matrícula 1er año Femenina 2025,Matrícula 1er año Masculina 2025,Matrícula 1er año Total 2025,Municipal y Servicios Locales,Particular Subvencionado ,Particular Pagado,Administración Delegada,Titulación Femenina 2024,Titlación Masculina 2024,Titulación Total 2024,Rango ingreso a 1er año con PAES 2025,Promedio PAES 2025 de Matrícula 1er año 2025,Promedio NEM 2025 de Matrícula 2025,Vacantes 1er semestre ,NEM,Ranking ,PAES Lenguaje,PAES Matemáticas ,PAES Matemáticas 2,PAES Historia ,PAES Ciencias ,Otros ,Área Carrera Genérica
I137S1C40J1V1,137,Humanidades,Institutos Profesionales,IP EATRI,TRADUCCION INGLES ESPAÑOL INGLES,Metropolitana,Diurna,CASA CENTRAL,$ 2.610.000,$ 0,8,Profesional,5,7,12,4,6,10,9.1%,63.6%,27.3%,0.0%,0,0,0, - , - , 5.9 ,27,0,0,0,0,0,0,0,0,Traducción e Interpretación
I137S1C40J4V1,137,Humanidades,Institutos Profesionales,IP EATRI,TRADUCCION INGLES ESPAÑOL INGLES,Metropolitana,A Distancia,CASA CENTRAL,$ 2.610.000,$ 0,8,Profesional,39,11,50,38,11,49,26.3%,65.8%,5.3%,2.6%,0,0,0, - , - , 5.8 ,75,0,0,0,0,0,0,0,0,Traducción e Interpretación
I137S1C41J1V1,137,Humanidades,Institutos Profesionales,IP EATRI,TRADUCCION INGLES ESPAÑOL MENCION CULTURA Y LENGUA PORTUGUESA,Metropolitana,Diurna,CASA CENTRAL,$ 2.610.000,$ 0,8,Profesional,9,0,9,9,0,9,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,25,0,0,0,0,0,0,0,0,Traducción e Interpretación
I137S1C42J1V1,137,Humanidades,Institutos Profesionales,IP EATRI,TRADUCCION INGLES ESPAÑOL MENCION CULTURA Y LENGUA ALEMANA,Metropolitana,Diurna,CASA CENTRAL,$ 2.610.000,$ 0,8,Profesional,10,3,13,10,3,13,15.4%,69.2%,15.4%,0.0%,0,0,0, - , - , 6.0 ,25,0,0,0,0,0,0,0,0,Traducción e Interpretación
I137S1C43J1V1,137,Humanidades,Institutos Profesionales,IP EATRI,TRADUCCION INGLES ESPAÑOL MENCION CULTURA Y LENGUA FRANCESA,Metropolitana,Diurna,CASA CENTRAL,$ 2.610.000,$ 0,8,Profesional,13,2,15,13,2,15,28.6%,64.3%,0.0%,7.1%,0,0,0, - , - , 5.9 ,25,0,0,0,0,0,0,0,0,Traducción e Interpretación
I137S1C44J1V1,137,Humanidades,Institutos Profesionales,IP EATRI,INTERPRETACION SIMULTANEA Y CONSECUTIVA INGLES ESPAÑOL,Metropolitana,Diurna,CASA CENTRAL,$ 2.910.000,$ 0,8,Profesional,6,7,13,6,7,13,25.0%,41.7%,33.3%,0.0%,0,0,0, - , - , 6.0 ,25,0,0,0,0,0,0,0,0,Traducción e Interpretación
I137S1C45J1V1,137,Humanidades,Institutos Profesionales,IP EATRI,TECNICO EN INTERPRETACION DE ENLACE INGLES ESPAÑOL,Metropolitana,Diurna,CASA CENTRAL,$ 1.700.000,$ 0,5,Técnica de Nivel Superior,21,9,30,20,9,29,17.9%,64.3%,17.9%,0.0%,0,0,0, - , - , 5.7 ,30,0,0,0,0,0,0,0,0,Técnico en Traducción e Interpretariado
I137S1C45J4V1,137,Humanidades,Institutos Profesionales,IP EATRI,TECNICO EN INTERPRETACION DE ENLACE INGLES ESPAÑOL,Metropolitana,A Distancia,CASA CENTRAL,$ 1.700.000,$ 0,5,Técnica de Nivel Superior,75,32,107,75,32,107,24.7%,54.8%,9.6%,11.0%,0,0,0, - , - , 5.8 ,116,0,0,0,0,0,0,0,0,Técnico en Traducción e Interpretariado
I137S1C52J4V1,137,Administración y Comercio,Institutos Profesionales,IP EATRI,TECNICO EN COMERCIO EXTERIOR CON INGLES APLICADO,Metropolitana,A Distancia,CASA CENTRAL,$ 1.850.000,$ 0,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,50,0,0,0,0,0,0,0,0,Técnico en Comercio Exterior
I137S1C53J4V1,137,Administración y Comercio,Institutos Profesionales,IP EATRI,TECNICO EN GESTION ADMINISTRATIVA Y COMUNICACION EN INGLES,Metropolitana,A Distancia,CASA CENTRAL,$ 1.850.000,$ 0,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,50,0,0,0,0,0,0,0,0,Técnico en Administración de Empresas
I137S1C54J1V1,137,Administración y Comercio,Institutos Profesionales,IP EATRI,TOUR OPERADOR Y GUIA TURISTICO BILINGUE,Metropolitana,Diurna,CASA CENTRAL,$ 1.850.000,$ 0,5,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,32,0,0,0,0,0,0,0,0,Técnico en Turismo y Hotelería
I139S1C11J1V2,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA EN CONSTRUCCION,Biobío,Diurna,SEDE LOS ANGELES,$ 2.383.500,$ 66.000,9,Profesional,36,106,142,12,30,42,60.1%,37.0%,0.7%,2.2%,0,3,3, - , - , 5.9 ,50,0,0,0,0,0,0,0,0,Ingeniería en Construcción
I139S1C139J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION EN QUIMICA Y MEDIO AMBIENTE-PE,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.519.200,$ 66.000,5,Profesional,29,12,41,13,7,20,60.0%,37.1%,2.9%,0.0%,8,2,10, - , - , 5.9 ,20,0,0,0,0,0,0,0,0,Ingeniería en Química
I139S1C14J1V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS,Biobío,Diurna,SEDE LOS ANGELES,$ 2.714.200,$ 66.000,8,Profesional,110,44,154,63,20,83,63.2%,34.0%,0.0%,2.8%,0,0,0, - , - , 5.8 ,80,0,0,0,0,0,0,0,0,Ingeniería en Prevención de Riesgos
I139S1C151J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN MANTENIMIENTO INDUSTRIAL,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.306.500,$ 66.000,4,Técnica de Nivel Superior,8,39,47,7,22,29,58.3%,36.1%,2.8%,2.8%,1,15,16, - , - , 5.5 ,25,0,0,0,0,0,0,0,0,Técnico en Mantenimiento Industrial
I139S1C155J1V1,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN EDUCACION DE PARVULOS,Biobío,Diurna,SEDE LOS ANGELES,$ 1.979.400,$ 66.000,4,Técnica de Nivel Superior,128,1,129,70,1,71,63.4%,33.9%,0.9%,1.8%,42,0,42, - , - , 5.8 ,50,0,0,0,0,0,0,0,0,Técnico Asistente del Educador de Párvulos
I139S1C155J2V1,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN EDUCACION DE PARVULOS,Biobío,Vespertina,SEDE LOS ANGELES,$ 1.979.400,$ 66.000,4,Técnica de Nivel Superior,65,0,65,42,0,42,51.1%,48.9%,0.0%,0.0%,16,0,16, - , - , 5.6 ,35,0,0,0,0,0,0,0,0,Técnico Asistente del Educador de Párvulos
I139S1C178J2V1,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN LOGISTICA,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.043.100,$ 66.000,4,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Logística
I139S1C18J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN CONSTRUCCION,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.052.500,$ 66.000,4,Técnica de Nivel Superior,8,33,41,5,19,24,42.3%,50.0%,3.8%,3.8%,5,23,28, - , - , 5.5 ,25,0,0,0,0,0,0,0,0,Técnico en Construcción y Obras Civiles
I139S1C191J1V1,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN EDUCACION BASICA,Biobío,Diurna,SEDE LOS ANGELES,$ 1.979.400,$ 66.000,4,Técnica de Nivel Superior,52,6,58,30,4,34,57.1%,40.8%,0.0%,2.0%,9,3,12, - , - , 5.7 ,35,0,0,0,0,0,0,0,0,Otros Técnicos de Educación
I139S1C19J1V2,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO ANALISTA PROGRAMADOR,Biobío,Diurna,SEDE LOS ANGELES,$ 2.006.400,$ 66.000,4,Técnica de Nivel Superior,0,5,5,0,0,0,s/i,s/i,s/i,s/i,1,14,15, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Computación e Informática
I139S1C19J2V2,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO ANALISTA PROGRAMADOR,Biobío,Vespertina,SEDE LOS ANGELES,$ 1.987.800,$ 66.000,4,Técnica de Nivel Superior,1,7,8,0,0,0,s/i,s/i,s/i,s/i,0,1,1, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Computación e Informática
I139S1C206J2V1,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,PSICOPEDAGOGIA (PE),Biobío,Vespertina,SEDE LOS ANGELES,$ 2.519.200,$ 66.000,5,Profesional,113,4,117,43,2,45,64.9%,30.9%,1.0%,3.1%,24,2,26, - , - , 5.5 ,30,0,0,0,0,0,0,0,0,Psicopedagogía
I139S1C213J1V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA EN INFORMATICA,Biobío,Diurna,SEDE LOS ANGELES,$ 2.233.100,$ 66.000,8,Profesional,20,124,144,9,42,51,56.4%,42.9%,0.0%,0.7%,0,1,1, - , - , 5.9 ,50,0,0,0,0,0,0,0,0,Ingeniería en Computación e Informática
I139S1C214J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA EN INFORMATICA-PE,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.519.200,$ 66.000,5,Profesional,3,8,11,0,0,0,50.0%,40.0%,0.0%,10.0%,0,0,0, - , - , 5.5 ,25,0,0,0,0,0,0,0,0,Ingeniería en Computación e Informática
I139S1C217J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN AUTOMATIZACION Y CONTROL,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.306.500,$ 66.000,4,Técnica de Nivel Superior,3,38,41,3,20,23,57.1%,37.1%,2.9%,2.9%,0,0,0, - , - , 5.7 ,25,0,0,0,0,0,0,0,0,"Técnico en Instrumentación, Automatización y Control Industrial"
I139S1C221J1V1,139,Ciencias Sociales,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN TRABAJO SOCIAL,Biobío,Diurna,SEDE LOS ANGELES,$ 2.056.700,$ 66.000,4,Técnica de Nivel Superior,45,4,49,21,2,23,62.8%,37.2%,0.0%,0.0%,20,5,25, - , - , 5.6 ,25,0,0,0,0,0,0,0,0,Técnico en Servicio Social
I139S1C221J2V1,139,Ciencias Sociales,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN TRABAJO SOCIAL,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.056.700,$ 66.000,4,Técnica de Nivel Superior,31,2,33,18,1,19,75.0%,25.0%,0.0%,0.0%,11,1,12, - , - , 5.4 ,20,0,0,0,0,0,0,0,0,Técnico en Servicio Social
I139S1C22J1V1,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ADMINISTRACION,Biobío,Diurna,SEDE LOS ANGELES,$ 2.203.400,$ 66.000,4,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,1,1,2, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Administración de Empresas
I139S1C22J2V1,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ADMINISTRACION,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.097.400,$ 66.000,4,Técnica de Nivel Superior,18,11,29,18,11,29,45.0%,55.0%,0.0%,0.0%,5,5,10, - , - , 5.9 ,25,0,0,0,0,0,0,0,0,Técnico en Administración de Empresas
I139S1C28J1V1,139,Salud,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ENFERMERIA,Biobío,Diurna,SEDE LOS ANGELES,$ 2.416.900,$ 66.000,5,Técnica de Nivel Superior,287,45,332,110,19,129,65.1%,34.6%,0.0%,0.3%,110,20,130, - , - , 5.8 ,128,0,0,0,0,0,0,0,0,Técnico en Enfermería
I139S1C28J2V1,139,Salud,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ENFERMERIA,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.416.900,$ 66.000,5,Técnica de Nivel Superior,69,14,83,33,9,42,45.5%,50.9%,1.8%,1.8%,0,0,0, - , - , 5.6 ,42,0,0,0,0,0,0,0,0,Técnico en Enfermería
I139S1C30J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ELECTROMECANICA,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.306.500,$ 66.000,4,Técnica de Nivel Superior,0,21,21,0,18,18,47.1%,47.1%,0.0%,5.9%,0,16,16, - , - , 5.5 ,20,0,0,0,0,0,0,0,0,Técnico en Electromecánica
I139S1C32J1V2,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN EDUCACION DIFERENCIAL,Biobío,Diurna,SEDE LOS ANGELES,$ 1.979.400,$ 66.000,4,Técnica de Nivel Superior,79,3,82,40,0,40,64.4%,32.9%,0.0%,2.7%,30,0,30, - , - , 5.7 ,35,0,0,0,0,0,0,0,0,Técnico Asistente del Educador Diferencial
I139S1C44J1V1,139,Ciencias Básicas,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO QUIMICO ANALISTA INDUSTRIAL,Biobío,Diurna,SEDE LOS ANGELES,$ 2.268.600,$ 66.000,4,Técnica de Nivel Superior,34,14,48,13,5,18,75.0%,25.0%,0.0%,0.0%,3,0,3, - , - , 6.0 ,20,0,0,0,0,0,0,0,0,Técnico en Química (Análisis e Industrial)
I139S1C46J2V2,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA EN ADMINISTRACION-PE,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.341.700,$ 66.000,5,Profesional,25,10,35,8,4,12,46.7%,53.3%,0.0%,0.0%,0,0,0, - , - , 5.8 ,25,0,0,0,0,0,0,0,0,Administración de Empresas e Ing. Asociadas
I139S1C48J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS-PE,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.654.500,$ 66.000,5,Profesional,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,25,0,0,0,0,0,0,0,0,Ingeniería en Prevención de Riesgos
I139S1C49J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION INDUSTRIAL-PE,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.519.200,$ 66.000,5,Profesional,6,37,43,3,13,16,69.4%,27.8%,0.0%,2.8%,0,0,0, - , - , 5.6 ,20,0,0,0,0,0,0,0,0,Ingeniería Industrial
I139S1C50J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION MECANICA-PE,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.519.200,$ 66.000,5,Profesional,2,66,68,2,26,28,59.3%,29.6%,0.0%,11.1%,1,22,23, - , - , 5.5 ,25,0,0,0,0,0,0,0,0,Ingeniería Mecánica
I139S1C51J2V2,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA EN CONSTRUCCION-PE,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.519.200,$ 66.000,5,Profesional,10,64,74,6,19,25,62.1%,33.3%,0.0%,4.5%,5,15,20, - , - , 5.7 ,25,0,0,0,0,0,0,0,0,Ingeniería en Construcción
I139S1C5J1V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION MECANICA,Biobío,Diurna,SEDE LOS ANGELES,$ 2.668.500,$ 66.000,8,Profesional,3,49,52,2,19,21,47.1%,49.0%,2.0%,2.0%,0,0,0, - , - , 6.0 ,25,0,0,0,0,0,0,0,0,Ingeniería Mecánica
I139S1C74J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ELECTRICIDAD,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.306.500,$ 66.000,4,Técnica de Nivel Superior,2,50,52,1,36,37,52.5%,47.5%,0.0%,0.0%,1,7,8, - , - , 5.6 ,35,0,0,0,0,0,0,0,0,Técnico en Electricidad y Electricidad Industrial
I139S1C7J1V1,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,AUDITORIA,Biobío,Diurna,SEDE LOS ANGELES,$ 2.203.400,$ 66.000,8,Profesional,27,21,48,17,8,25,64.4%,33.3%,0.0%,2.2%,11,1,12, - , - , 6.0 ,25,0,0,0,0,0,0,0,0,Contador Auditor
I139S1C7J2V1,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,AUDITORIA,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.201.800,$ 66.000,8,Profesional,56,34,90,7,7,14,71.0%,29.0%,0.0%,0.0%,7,3,10, - , - , 5.8 ,20,0,0,0,0,0,0,0,0,Contador Auditor
I139S1C89J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION EN ELECTRICIDAD-PE,Biobío,Vespertina,SEDE LOS ANGELES,$ 2.519.200,$ 66.000,5,Profesional,5,150,155,2,48,50,65.4%,29.2%,0.0%,5.4%,1,35,36, - , - , 5.7 ,45,0,0,0,0,0,0,0,0,Ingeniería en Electricidad
I139S1C8J1V2,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA EN ADMINISTRACION,Biobío,Diurna,SEDE LOS ANGELES,$ 2.203.400,$ 66.000,8,Profesional,66,22,88,28,10,38,62.8%,37.2%,0.0%,0.0%,0,0,0, - , - , 6.0 ,35,0,0,0,0,0,0,0,0,Administración de Empresas e Ing. Asociadas
I139S2C11J1V2,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA EN CONSTRUCCION,Ñuble,Diurna,SEDE CHILLAN,$ 2.383.500,$ 66.000,9,Profesional,39,149,188,14,43,57,29.2%,59.5%,0.5%,10.8%,3,16,19, - , - , 5.8 ,53,0,0,0,0,0,0,0,0,Ingeniería en Construcción
I139S2C14J1V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA DE EJECUCION EN PREVENCION DE RIESGOS,Ñuble,Diurna,SEDE CHILLAN,$ 2.714.200,$ 66.000,8,Profesional,46,26,72,17,10,27,45.6%,48.5%,0.0%,5.9%,0,0,0, - , - , 5.9 ,30,0,0,0,0,0,0,0,0,Ingeniería en Prevención de Riesgos
I139S2C155J1V1,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN EDUCACION DE PARVULOS,Ñuble,Diurna,SEDE CHILLAN,$ 1.979.400,$ 66.000,4,Técnica de Nivel Superior,79,0,79,40,0,40,36.5%,45.9%,0.0%,17.6%,29,0,29, - , - , 5.8 ,30,0,0,0,0,0,0,0,0,Técnico Asistente del Educador de Párvulos
I139S2C155J2V1,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN EDUCACION DE PARVULOS,Ñuble,Vespertina,SEDE CHILLAN,$ 1.979.400,$ 66.000,4,Técnica de Nivel Superior,25,0,25,11,0,11,23.8%,61.9%,0.0%,14.3%,11,0,11, - , - , 5.3 ,20,0,0,0,0,0,0,0,0,Técnico Asistente del Educador de Párvulos
I139S2C18J2V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN CONSTRUCCION,Ñuble,Vespertina,SEDE CHILLAN,$ 2.052.500,$ 66.000,4,Técnica de Nivel Superior,6,26,32,3,12,15,34.5%,44.8%,0.0%,20.7%,2,6,8, - , - , 5.5 ,20,0,0,0,0,0,0,0,0,Técnico en Construcción y Obras Civiles
I139S2C19J1V2,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO ANALISTA PROGRAMADOR,Ñuble,Diurna,SEDE CHILLAN,$ 2.006.400,$ 66.000,4,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,3,3, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Computación e Informática
I139S2C206J2V1,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,PSICOPEDAGOGIA (PE),Ñuble,Vespertina,SEDE CHILLAN,$ 2.519.200,$ 66.000,5,Profesional,95,3,98,32,1,33,28.4%,52.3%,1.1%,18.2%,26,0,26, - , - , 5.8 ,30,0,0,0,0,0,0,0,0,Psicopedagogía
I139S2C213J1V1,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,INGENIERIA EN INFORMATICA,Ñuble,Diurna,SEDE CHILLAN,$ 2.233.100,$ 66.000,8,Profesional,8,99,107,2,34,36,28.3%,66.0%,0.0%,5.7%,0,0,0, - , - , 5.8 ,40,0,0,0,0,0,0,0,0,Ingeniería en Computación e Informática
I139S2C221J1V1,139,Ciencias Sociales,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN TRABAJO SOCIAL,Ñuble,Diurna,SEDE CHILLAN,$ 2.056.700,$ 66.000,4,Técnica de Nivel Superior,40,9,49,28,3,31,39.0%,51.2%,0.0%,9.8%,20,0,20, - , - , 5.8 ,30,0,0,0,0,0,0,0,0,Técnico en Servicio Social
I139S2C221J2V1,139,Ciencias Sociales,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN TRABAJO SOCIAL,Ñuble,Vespertina,SEDE CHILLAN,$ 2.056.700,$ 66.000,4,Técnica de Nivel Superior,11,1,12,11,1,12,s/i,s/i,s/i,s/i,9,0,9, - , - , s/i ,20,0,0,0,0,0,0,0,0,Técnico en Servicio Social
I139S2C22J1V1,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ADMINISTRACION,Ñuble,Diurna,SEDE CHILLAN,$ 2.043.100,$ 66.000,4,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,4,5,9, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Administración de Empresas
I139S2C22J1V2,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ADMINISTRACION,Ñuble,Diurna,SEDE CHILLAN,$ 2.043.100,$ 66.000,3,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,3,0,0,0,0,0,0,0,0,Técnico en Administración de Empresas
I139S2C22J2V1,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ADMINISTRACION,Ñuble,Vespertina,SEDE CHILLAN,$ 2.043.100,$ 66.000,4,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,3,1,4, - , - , s/i ,25,0,0,0,0,0,0,0,0,Técnico en Administración de Empresas
I139S2C22J2V2,139,Administración y Comercio,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ADMINISTRACION,Ñuble,Vespertina,SEDE CHILLAN,$ 2.043.100,$ 66.000,3,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,3,0,0,0,0,0,0,0,0,Técnico en Administración de Empresas
I139S2C26J2V2,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN INDUSTRIA ALIMENTARIA,Ñuble,Vespertina,SEDE CHILLAN,$ 2.138.100,$ 66.000,4,Técnica de Nivel Superior,14,5,19,0,0,0,60.0%,40.0%,0.0%,0.0%,4,0,4, - , - , 5.7 ,20,0,0,0,0,0,0,0,0,Técnico en Alimentos
I139S2C26J2V3,139,Tecnología,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN INDUSTRIA ALIMENTARIA,Ñuble,Vespertina,SEDE CHILLAN,$ 2.138.100,$ 66.000,3,Técnica de Nivel Superior,0,0,0,0,0,0,s/i,s/i,s/i,s/i,0,0,0, - , - , s/i ,3,0,0,0,0,0,0,0,0,Técnico en Alimentos
I139S2C28J1V1,139,Salud,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ENFERMERIA,Ñuble,Diurna,SEDE CHILLAN,$ 2.416.900,$ 66.000,5,Técnica de Nivel Superior,253,63,316,95,22,117,42.2%,48.3%,0.0%,9.5%,81,13,94, - , - , 5.9 ,120,0,0,0,0,0,0,0,0,Técnico en Enfermería
I139S2C28J2V1,139,Salud,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN ENFERMERIA,Ñuble,Vespertina,SEDE CHILLAN,$ 2.416.900,$ 66.000,5,Técnica de Nivel Superior,42,9,51,21,7,28,33.3%,63.9%,0.0%,2.8%,0,0,0, - , - , 5.3 ,30,0,0,0,0,0,0,0,0,Técnico en Enfermería
I139S2C32J1V2,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN EDUCACION DIFERENCIAL,Ñuble,Diurna,SEDE CHILLAN,$ 1.979.400,$ 66.000,4,Técnica de Nivel Superior,59,6,65,28,5,33,39.0%,45.8%,3.4%,11.9%,19,2,21, - , - , 5.8 ,30,0,0,0,0,0,0,0,0,Técnico Asistente del Educador Diferencial
I139S2C32J2V2,139,Educación,Institutos Profesionales,IP DR. VIRGINIO GOMEZ G.,TECNICO EN EDUCACION DIFERENCIAL,Ñuble,Vespertina,SEDE CHILLAN,$ 1.979.400,$ 66.000,4,Técnica de Nivel Superior,19,1,20,0,0,0,41.2%,47.1%,0.0%,11.8%,3,1,4, - , - , 5.8 ,20,0,0,0,0,0,0,0,0,Técnico Asistente del Educador Diferencial
